title,summary,img_src,caption,description,auther_name,auther_img,date,category,link
Progress Cargo Craft Launches to Station for Saturday Delivery,"The unpiloted Roscosmos Progress 92 spacecraft is safely in orbit headed for the International Space Station following a launch at 3:32 p.m. EDT (12:32 a.m., Baikonur time, Friday, July 4) on a Soyuz rocket from the Baikonur Cosmodrome in Kazakhstan. ",https://www.nasa.gov/wp-content/uploads/2025/07/blog-p92-launch-0703.jpg?w=900&h=900&fit=crop&crop=faces%2Cfocalpoint,['The Progress 92 cargo craft lifts off on time from the Baikonur Cosmodrome in Kazakhstan packed with three tons of supplies for the Expedition 73 crew.'],"['The unpiloted Roscosmos Progress 92 spacecraft is safely in orbit headed for the International Space Station following a launch at 3:32 p.m. EDT (12:32 a.m., Baikonur time, Friday, July 4) on a Soyuz rocket from the Baikonur Cosmodrome in Kazakhstan.\xa0', 'After a two-day, in-orbit journey to the station, the spacecraft will dock autonomously to the space-facing port of the orbiting laboratory’s Poisk module at approximately 5:27 p.m. on Saturday, July 5. NASA’s rendezvous and docking coverage will begin at 4:45 p.m. on NASA+. Learn how to watch NASA content through a variety of platforms, including social media.', 'The spacecraft will deliver about three tons of food, fuel, and supplies to the space station.\xa0', 'Learn more about station activities by following the space station blog, @space_station on X, as well as the ISS Facebook and ISS Instagram accounts.', 'Get the latest from NASA delivered every week. Subscribe here.']",Mark A. Garcia,['https://secure.gravatar.com/avatar/184810d5cf7d1c096427ce1a0ec003f9?s=200&d=blank&r=g'],"['July 3, 2025']","['Expedition 73', 'International Space Station (ISS)', 'ISS Research', 'Johnson Space Center']",https://www.nasa.gov/blogs/spacestation/2025/07/03/progress-cargo-craft-launches-to-station-for-saturday-delivery/
Progress Cargo Craft Counting Down to Launch on NASA+,"The unpiloted Progress 92 spacecraft is scheduled to launch at 3:32 p.m. EDT (12:32 a.m. Baikonur time, Friday, July 4) on a Soyuz rocket from the Baikonur Cosmodrome in Kazakhstan. The Roscosmos spacecraft will liftoff carrying about three tons of food, fuel, and supplies for the Expedition 73 crew aboard the International Space Station.",https://www.nasa.gov/wp-content/uploads/2025/02/blog-p91-launch.jpg?w=900&h=900&fit=crop&crop=faces%2Cfocalpoint,"['The Progress 91 cargo craft is pictured launching on Feb. 27, 2025, time from the Baikonur Cosmodrome in Kazakhstan to the International Space Station.']","['NASA’s live coverage is underway on NASA+. Learn how to watch NASA content through a variety of platforms, including social media.\xa0', 'The unpiloted Progress 92 spacecraft is scheduled to launch at 3:32 p.m. EDT (12:32 a.m. Baikonur time, Friday, July 4) on a Soyuz rocket from the Baikonur Cosmodrome in Kazakhstan. The Roscosmos spacecraft will liftoff carrying about three tons of food, fuel, and supplies for the Expedition 73 crew aboard the International Space Station.', 'After a two-day, in-orbit journey to the station, the spacecraft will dock autonomously to the space-facing port of the orbiting laboratory’s Poisk module at approximately 5:27 p.m. on Saturday, July 5. NASA’s rendezvous and docking coverage will begin at 4:45 p.m. on NASA+.\xa0', 'Learn more about station activities by following the space station blog, @space_station on X, as well as the ISS Facebook and ISS Instagram accounts.', 'Get the latest from NASA delivered every week. Subscribe here.']",Mark A. Garcia,['https://secure.gravatar.com/avatar/184810d5cf7d1c096427ce1a0ec003f9?s=200&d=blank&r=g'],"['July 3, 2025']","['Expedition 73', 'International Space Station (ISS)', 'ISS Research', 'Johnson Space Center']",https://www.nasa.gov/blogs/spacestation/2025/07/03/progress-cargo-craft-counting-down-to-launch-on-nasa/
Spacecraft Bus Commissioning Complete for NASA’s Arcstone,"Commissioning of the bus, or the main structure of the satellite, has now been completed for NASA’s Arcstone lunar calibration instrument. Arcstone will now continue to go through commissioning to test its components and hardware and is expected to begin gathering science measurements approximately three weeks after launch – known as first light.  As a […]",https://www.nasa.gov/wp-content/uploads/2025/06/arcstone-inter-calibration-sun-and-moon-v5.jpg?w=900&h=900&fit=crop&crop=faces%2Cfocalpoint,['An artist’s rendering of NASA’s Arcstone instrument on-orbit gathering measurements of lunar reflectance.'],"['Commissioning of the bus, or the main structure of the satellite, has now been completed for NASA’s Arcstone lunar calibration instrument.', 'Arcstone will now continue to go through commissioning to test its components and hardware and is expected to begin gathering science measurements approximately three weeks after launch – known as first light.\xa0', 'As a technology demonstration, Arcstone aims to improve future space research by using sunlight reflected off the Moon to fine-tune spacecraft instruments that observe Earth and other celestial bodies. Positioned in low Earth orbit where it can observe both the Moon and the Sun without interference from the atmosphere, the CubeSat, about the size of a shoebox (roughly 10.5 inches), will measure lunar spectral reflectance – or how much light the Moon reflects at different wavelengths.', 'Arcstone is the first instrument dedicated to improving the accuracy of lunar reflectance measurements from space. The mission is an important first step to enable a high-accuracy international standard of measure for use by monitoring sensors and constellation systems in orbit. Along with improving science data from current spaceborne sensors, a universal standard of calibration from lunar spectral reflectance could be applied to previous Earth data records to fill in gaps in the data.', '“One of the most challenging tasks in remote sensing from space is achieving required instrument calibration accuracy on-orbit,” said Constantine Lukashin, principal investigator for the Arcstone mission and physical scientist at NASA’s Langley Research Center in Hampton, Virginia. “The Moon is an excellent and available calibration source beyond Earth’s atmosphere. Arcstone’s goal is to improve the accuracy of lunar calibration to increase the quality of spaceborne remote sensing data products for generations to come.”\xa0', 'For more information on NASA’s Arcstone mission: ', 'https://www.nasa.gov/science-research/science-enabling-technology/nasa-tech-to-use-moonlight-to-enhance-measurements-from-space/', '']",Charles G. Hatfield,['https://secure.gravatar.com/avatar/1e8ed9f381d5cc1db945c77c9e1f6cd4?s=200&d=blank&r=g'],"['July 3, 2025']",[],https://www.nasa.gov/blogs/smallsatellites/2025/07/03/spacecraft-bus-commissioning-complete-for-nasas-arcstone/
NASA Astronauts Send Independence Day Message Before Cargo Mission Launches,"NASA’s Expedition 73 Flight Engineers Anne McClain, Nichole Ayers, and Jonny Kim called down to Earth from the International Space Station and shared an Independence Day message in this video recorded on June 16, 2025.",https://www.nasa.gov/wp-content/uploads/2025/07/exp73-j4m-0070325.jpg?w=900&h=900&fit=crop&crop=faces%2Cfocalpoint,[],"['NASA’s Expedition 73 Flight Engineers Anne McClain, Nichole Ayers, and Jonny Kim called down to Earth from the International Space Station and shared an Independence Day message in this video recorded on June 16, 2025.', 'The NASA trio along with their Expedition 73 crewmates station Commander Takuya Onishi of JAXA (Japan Aerospace Exploration Agency) and Roscosmos Flight Engineers Sergey Ryzhikov, Alexey Zubritskiy, and Kirill Peskov relaxed the day before the U.S. holiday. Their Axiom Mission 4 (Ax-4) visitors also had an off-duty day. Ax-4 private astronauts Peggy Whitson, Shubhanshu Shukla, Sławosz Uznański-Wiśniewski, and Tibor Kapu will resume their science-packed schedule on Friday and work into the weekend.', 'Roscosmos’ Progress 92 resupply ship is counting down to its launch at 3:32 p.m. EDT on today from the Baikonur Cosmodrome in Kazakhstan. The Progress is scheduled to dock to the Poisk module at 5:27 p.m. on Saturday delivering about three thousand pounds of food, fuel and supplies for the orbiting lab residents. NASA+ will provide live coverage of both events.', 'Learn more about station activities by following the space station blog, @space_station on X, as well as the ISS Facebook and ISS Instagram accounts.', 'Get the latest from NASA delivered every week. Subscribe here.']",Mark A. Garcia,['https://secure.gravatar.com/avatar/184810d5cf7d1c096427ce1a0ec003f9?s=200&d=blank&r=g'],"['July 3, 2025']","['Expedition 73', 'International Space Station (ISS)', 'ISS Research', 'Johnson Space Center', 'Private Astronaut Missions']",https://www.nasa.gov/blogs/spacestation/2025/07/03/nasa-astronauts-send-independence-day-message-before-cargo-mission-launches/
NASA Sets Briefings for SpaceX Crew-11 Mission to Space Station,"NASA and its partners will discuss the upcoming crew rotation to the International Space Station during a pair of news conferences on Thursday, July 10, from the agency’s Johnson Space Center in Houston. First is an overview news conference at 12 p.m. EDT with mission leadership discussing final launch and mission preparations on the agency’s YouTube channel. […]",https://www.nasa.gov/wp-content/uploads/2025/07/crew11.png?w=900&h=900&fit=crop&crop=faces%2Cfocalpoint,"['The four crew members of NASA’s SpaceX Crew-11 mission to the International Space Station train inside a SpaceX Dragon spacecraft in Hawthorne, California. From left to right: Roscosmos cosmonaut Oleg Platonov, NASA astronauts Mike Fincke and Zena Cardman, and JAXA astronaut Kimiya Yui.']","['NASA and its partners will discuss the upcoming crew rotation to the International Space Station during a pair of news conferences on Thursday, July 10, from the agency’s Johnson Space Center in Houston.', 'First is an overview news conference at 12 p.m. EDT with mission leadership discussing final launch and mission preparations on the agency’s\xa0YouTube\xa0channel.', 'Next, crew will participate in a news conference at 2 p.m. on NASA’s\xa0YouTube\xa0channel, followed by individual astronaut interviews at 3 p.m. This is the final media opportunity with Crew-11 before they travel to NASA’s Kennedy Space Center in Florida for launch.', 'The Crew-11 mission, targeted to launch in late July/early August, will carry NASA astronauts Zena Cardman and Mike Fincke, JAXA (Japan Aerospace Exploration Agency) astronaut Kimiya Yui, and Roscosmos cosmonaut Oleg Platonov to the orbiting laboratory. The crew will launch aboard a SpaceX Dragon spacecraft on the company’s Falcon 9 rocket from Launch Complex 39A.', 'To read the full news release, click here.']",Jason Costa,['https://www.nasa.gov/wp-content/uploads/2022/07/JASON-COSTA_avatar_1659036634-200x200.jpg'],"['July 3, 2025']","['Commercial Crew', 'E. Michael Fincke', 'International Space Station (ISS)', 'Johnson Space Center', 'Kennedy Space Center', 'Zena Cardman']",https://www.nasa.gov/blogs/commercialcrew/2025/07/03/nasa-sets-briefings-for-spacex-crew-11-mission-to-space-station/
NASA Discovers Interstellar Comet Moving Through Solar System,"On July 1, the NASA-funded ATLAS (Asteroid Terrestrial-impact Last Alert System) survey telescope in Rio Hurtado, Chile, first reported observations of a comet that originated from interstellar space. Arriving from the direction of the constellation Sagittarius, the interstellar comet has been officially named 3I/ATLAS. It is currently located about 420 million miles (670 million kilometers) […]",https://assets.science.nasa.gov/dynamicimage/assets/science/psd/planetary-defense/3I_interstellar%20comet%20orbit.jpg?w=900&h=900&fit=clip&crop=faces%2Cfocalpoint,[],"['This diagram shows the trajectory of interstellar comet 3I/ATLAS as it passes through the solar system. It will make its closest approach to the Sun in October.NASA/JPL-Caltech', '', 'On July 1, the NASA-funded ATLAS (Asteroid Terrestrial-impact Last Alert System) survey telescope in Rio Hurtado, Chile, first reported observations of a comet that originated from interstellar space. Arriving from the direction of the constellation Sagittarius, the interstellar comet has been officially named 3I/ATLAS. It is currently located about 420 million miles (670 million kilometers) away.', '', '', 'Since that first report, observations from before the discovery have been gathered from the archives of three different ATLAS telescopes around the world and the Zwicky Transient Facility at the Palomar Observatory in San Diego County, California. These “pre-discovery” observations extend back to June 14. Numerous telescopes have reported additional observations since the object was first reported.', '', '', 'The comet poses no threat to Earth and will remain at a distance of at least 1.6 astronomical units (about 150 million miles or 240 million km). It is currently about 4.5 au (about 416 million miles or 670 million km) from the Sun. 3I/ATLAS will reach its closest approach to the Sun around Oct. 30, at a distance of 1.4 au (about 130 million miles or 210 million km) — just inside the orbit of Mars.', '', '', 'The interstellar comet’s size and physical properties are being investigated by astronomers around the world. 3I/ATLAS should remain visible to ground-based telescopes through September, after which it will pass too close to the Sun to observe. It is expected to reappear on the other side of the Sun by early December, allowing for renewed observations.', '']",NASA Science Editorial Team,['https://science.nasa.gov/wp-content/themes/nasa/assets/images/solar-system/nasa-starfield.webp'],"['July 2, 2025']","['Comets', 'Planetary Defense']",https://science.nasa.gov/blogs/planetary-defense/2025/07/02/nasa-discovers-interstellar-comet-moving-through-solar-system/
Brain Research Continues on Station Ahead of Cargo Mission Launch,"Brain research continued aboard the International Space Station on Wednesday as the Expedition 73 and Axiom Mission 4 (Ax-4) crews kept up their ongoing space biology studies. Meanwhile, a Progress cargo craft counts down to its launch to resupply the orbital residents this weekend.",https://images-assets.nasa.gov/image/iss073e0249126/iss073e0249126~large.jpg?w=900&h=900&fit=crop&crop=faces%2Cfocalpoint,"['NASA astronauts (from left) Anne McClain and Nichole Ayers pose for a portrait inside the cupola while monitoring the SpaceX Dragon spacecraft carrying the Axiom Mission 4 crew as it approached the International Space Station on June 26, 2025.']","['Brain research continued aboard the International Space Station on Wednesday as the Expedition 73 and Axiom Mission 4 (Ax-4) crews kept up their ongoing space biology studies. Meanwhile, a Progress cargo craft counts down to its launch to resupply the orbital residents this weekend.', 'NASA Flight Engineer Nichole Ayers took her turn today in the Columbus laboratory module wearing neck and chest electrodes measuring oscillations in the blood flow from her brain to the heart for the Drain Brain 2.0 human research experiment. Similarly, Ax-4 private astronaut Tibor Kapu wore a cap that imaged blood flow in his cerebral artery using doppler ultrasound for the Cerebral Hemodynamics investigation. Veteran astronaut and Ax-4 Commander Peggy Whitson assisted Kapu with the biomedical hardware and measured his blood pressure inside the Tranquility module. Both studies are supported by different organizations with the first seeking to prevent space-caused blood clots and the second to protect crew visual processing and perception in microgravity.', 'Ayers later joined her station crewmates Commander Takuya Onishi of JAXA (Japan Aerospace Exploration Agency) and NASA Flight Engineer Anne McClain for eye checks using high-resolution, near-infrared medical imaging hardware. McClain led the B Complex optical investigation in the Harmony Module as Ayers and Onishi peered into the ocular device while doctors on the ground examined their optic nerve at the back of the eye in real time. Researchers are exploring using B vitamin supplements as a method to protect crew vision in microgravity.', 'NASA Flight Engineer Jonny Kim began his shift inspecting portable emergency hardware including fire extinguishers and breathing masks. After his lunch period, he joined his Soyuz MS-27 crewmates Sergey Ryzhikov and Sergey Zubritskiy, both flight engineers from Roscosmos, and practiced using respirator masks in the unlikely event of a chemical leak onboard the orbital outpost.', 'Ryzhikov and Zubritskiy started their shift repairing a Roscosmos treadmill in the Zvezda service module. Ryzhikov also wore virtual reality glasses for a study observing how a crew member’s balance and visual perception adjust to microgravity. Zubritskiy serviced research physics hardware that measures neutron radiation. Flight Engineer Kirill Peskov spent his shift in the orbital outpost’s Roscosmos segment servicing orbital plumbing gear and activating Earth observation equipment.', 'Ax-4 crewmates Shubhanshu Shukla and Sławosz Uznański-Wiśniewski partnered together in Columbus and studied using near-infrared technology to record brain activity for constructing brain-computer interfaces. Uznański-Wiśniewski wore a specialized cap connected via Bluetooth to a laptop computer recording his brain activity while Shukla optimized the signal quality and calibrated the hardware. The pair also recorded and downlinked video of crew activities for the Astronaut Mental Health study. Shukla also looked at muscle cell stem cultures through a microscope to understand the muscle repair process in weightlessness.', 'The next uncrewed cargo mission, Progress 92, is counting down to its launch at 3:32 p.m. EDT on Thursday from the Baikonur Cosmodrome in Kazakhstan. Progress 92 is scheduled to dock to the Poisk module at 5:27 p.m. on Saturday delivering about three thousand pounds of food, fuel and supplies for the orbiting lab residents. NASA+ will provide live coverage of both events.', 'Learn more about station activities by following the space station blog, @space_station on X, as well as the ISS Facebook and ISS Instagram accounts.', 'Get the latest from NASA delivered every week. Subscribe here.']",Mark A. Garcia,['https://secure.gravatar.com/avatar/184810d5cf7d1c096427ce1a0ec003f9?s=200&d=blank&r=g'],"['July 2, 2025']","['Expedition 73', 'International Space Station (ISS)', 'ISS Research', 'Johnson Space Center', 'Private Astronaut Missions']",https://www.nasa.gov/blogs/spacestation/2025/07/02/brain-research-continues-on-station-ahead-of-cargo-mission-launch/
NASA’s Lucy Mission Provides Full View of Asteroid Donaldjohanson,Scientists with NASA’s Lucy mission continue to analyze data collected during the spacecraft’s April 20 encounter with the main-belt asteroid Donaldjohanson. The images below were taken by the spacecraft’s L’LORRI imager a few minutes before its closest approach. This successful dress rehearsal gives the team high confidence that both the spacecraft and the team are […],https://assets.science.nasa.gov/dynamicimage/assets/science/psd/dj_stereo_xeye.png?w=900&h=770&fit=clip&crop=faces%2Cfocalpoint,[],"['', 'Scientists with NASA’s Lucy mission continue to analyze data collected during the spacecraft’s April 20 encounter with the main-belt asteroid Donaldjohanson.', '', '', 'The images below were taken by the spacecraft’s L’LORRI imager a few minutes before its closest approach. This successful dress rehearsal gives the team high confidence that both the spacecraft and the team are well prepared for the main events: the upcoming encounters with the Jupiter Trojan asteroids.', '', 'Asteroid Donaldjohanson as seen by the Lucy spacecraft from a range of about 1,700 miles (2,700 km), about 3.2 minutes before closest approach on April 20, 2025. This is the highest resolution image yet of the entire asteroid, taken just before it overfilled the L’LORRI field of view. The smallest visible features are about 130 feet (40 meters) across. The illumination conditions, with the Sun almost behind Lucy, greatly reduce the contrast of topographic details.NASA/Goddard/SwRI/Johns Hopkins APL', '', 'The spacecraft itself is now in a relatively quiet cruise period as it continues traveling through the main asteroid belt. Lucy is heading away from the Sun at more than 30,000 mph (50,000 km per hour), and the team will keep monitoring the spacecraft as it moves toward the cooler and dimmer outer solar system.', '', '', 'Once Lucy reaches the Trojan asteroids, it will conduct four encounters, observing at least six asteroids (including two satellites discovered by the Lucy team) in less than 15 months. The first encounter will be with the asteroid Eurybates in August 2027.', '', 'A stereo image pair combining the last complete approach image (right) with a slightly clipped image taken 72 seconds later (left). For a three-dimensional view of the asteroid’s structure, cross your eyes while focusing on the image. Note: The contrast of each image has been enhanced to make surface features easier to see and to compensate for small differences in lighting. Additionally, the perceived depth may vary due to factors such as the space between your eyes and your distance from the screen. NASA/Goddard/SwRI/Johns Hopkins APL/Brian May/Claudia Manzoni', '', 'Featured images can be downloaded here.', '']",Erin Morton,['https://secure.gravatar.com/avatar/b2a5245b7fc69c0d0d9c8aef5a6a3516?s=200&d=https%3A%2F%2Fassets.science.nasa.gov%2Fdynamicimage%2Fassets%2Fscience%2Fpsd%2Fsolar%2Fbosf%2Fimages%2Feditor-page-nasa-logo-250s.png%3Fw%3D250%26h%3D250%26fit%3Dclip%26crop%3Dfaces%252Cfocalpoint&r=g'],"['July 2, 2025']","['Asteroids', 'Goddard Space Flight Center', 'Lucy', 'Planetary Science', 'Planetary Science Division', 'Trojan Asteroids']",https://science.nasa.gov/blogs/lucy/2025/07/02/nasas-lucy-mission-provides-full-view-of-asteroid-donaldjohanson/
"Brain, Cancer, and Biotech Top Science Schedule as Cargo Craft Departs","The 11 crew members aboard the space station representing Expedition 73 and Axiom Mission 4 (Ax-4) returned to their space science duties on Tuesday exploring the brain circulation, observing cancer cells, and studying biotechnology, among other investigations.",https://images-assets.nasa.gov/image/iss073e0249083/iss073e0249083~large.jpg?w=900&h=900&fit=crop&crop=faces%2Cfocalpoint,"['The seven-member Expedition 73 crew poses for a portrait inside the International Space Station’s Zvezda service module. Clockwise from top left are, Nichole Ayers, Takuya Onishi, Alexey Zubritskiy, Jonny Kim, Anne McClain, Kirill Peskov, and Sergey Ryzhikov.']","['The 11 crew members aboard the International Space Station representing Expedition 73 and Axiom Mission 4 (Ax-4) returned to their space science duties on Tuesday exploring brain circulation, observing cancer cells, and studying biotechnology, among other investigations.', 'Station Commander Takuya Onishi from JAXA (Japan Aerospace Exploration Agency) attached sensors to his neck and chest measuring how blood flows from the brain to the heart. Doctors will review the data to understand how blood circulation adapts to weightlessness. Ax-4 crewmates Peggy Whitson and Tibor Kapu also studied cerebral circulation for another experiment designed for their mission. Whitson assisted Kapu who wore a cap using doppler ultrasound to image blood flow in his cerebral artery while a cuff measured his blood pressure. Doctors will use the results to help protect crew visual processing and perception in microgravity. Whitson later peered inside a fluorescence microscope at cancer cells to learn how to detect and prevent cancer earlier.', 'NASA Flight Engineers Anne McClain and Nichole Ayers spent a portion of their shift assisting the Ax-4 crew on Tuesday. McClain helped the private astronauts operate the research hardware throughout the orbital lab and guided their science activities. Ayers set up a microscope in the Destiny laboratory module that Ax-4 crew member Shubhanshu Shukla used to view how tardigrades, tiny aquatic animals, survive numerous harsh climates including microgravity. Ax-4 astronaut Sławosz Uznański-Wiśniewski explored using nanomaterials in wearable devices that monitor crew health.', 'NASA Flight Engineer Jonny Kim began his shift with Onishi collecting blood samples, processing them in a centrifuge, and stowing the specimens in a science freezer for preservation. Kim later reorganized hardware inside the Harmony module’s maintenance work area then installed ventilation system components inside the Quest airlock.', 'The uncrewed, trash-packed Progress 90 cargo craft ended its stay at the orbital outpost today undocking from the Poisk module at 2:42 p.m. EDT. It will reenter Earth’s atmosphere for a fiery, but safe demise above the south Pacific Ocean completing a seven-month space delivery mission.', 'Waiting to replace the spacecraft is the Progress 92 cargo craft standing at the launch pad at the Baikonur Cosmodrome in Kazakhstan. The Progress 92 is counting down to its launch at 3:32 p.m. EDT on Thursday. It will arrive at the orbital lab on Saturday and dock to Poisk at 5:27 p.m. delivering about three thousand pounds of food, fuel and supplies for the orbiting lab residents. NASA+ will provide live coverage of both events.', 'Roscosmos Flight Engineers Sergey Ryzhikov and Alexey Zubritskiy began their day training on the telerobotically operated rendezvous unit, or TORU, for Saturday’s approach and rendezvous of the Progress 92. Ryzhikov then set up hardware to capture hyperspectral imagery of landmarks in Mexico and South America. Zubritskiy photographed the Progress 90 as it departed the station. Roscosmos Flight Engineer Kirill Peskov checked a laptop computer used for European robotic arm operations then completed a 24-hour session wearing sensors that measured his heart activity and blood pressure.', 'Learn more about station activities by following the space station blog, @space_station on X, as well as the ISS Facebook and ISS Instagram accounts.', 'Get the latest from NASA delivered every week. Subscribe here.']",Mark A. Garcia,['https://secure.gravatar.com/avatar/184810d5cf7d1c096427ce1a0ec003f9?s=200&d=blank&r=g'],"['July 1, 2025']","['Expedition 73', 'International Space Station (ISS)', 'ISS Research', 'Johnson Space Center', 'Private Astronaut Missions']",https://www.nasa.gov/blogs/spacestation/2025/07/01/brain-cancer-and-biotech-top-science-schedule-as-cargo-craft-departs/
An Update from the 2025 Mars 2020 Science Team Meeting,"The Mars 2020 Science Team gathered for a week in June to discuss recent science results, synthesize earlier mission observations, and discuss future plans for continued exploration of Jezero’s crater rim. It was also an opportunity to celebrate what makes this mission so special: one of the most capable and sophisticated science missions ever sent […]",https://assets.science.nasa.gov/dynamicimage/assets/science/missions/mars2020/2025/perseverance-rover-updates/members-of-the-mars-2020-science-team-examine-post-impact-sediments.jpg?w=900&h=900&fit=clip&crop=faces%2Cfocalpoint,[],"['Members of the Mars 2020 Science Team examine post-impact sediments within the Gardnos impact structure as part of the June 2025 Science Team Meeting.Katie Stack Morgan', '', 'The Mars 2020 Science Team gathered for a week in June to discuss recent science results, synthesize earlier mission observations, and discuss future plans for continued exploration of Jezero’s crater rim. It was also an opportunity to celebrate what makes this mission so special: one of the most capable and sophisticated science missions ever sent to Mars, an experienced and expert Science Team, and the rover’s many science accomplishments this past year.', '', '', 'We kicked off the meeting, which was hosted by our colleagues on the RIMFAX team at the University of Oslo, with a focus on our most recent discoveries on the Jezero crater rim. A highlight was the team’s in-depth discussion of spherules observed at Witch Hazel Hill, features which likely provide us the best chance of determining the origin of the crater rim rock sequence. \xa0', '', '', 'On the second day, we heard status updates from each of the science instrument teams. We then transitioned to a session devoted to “traverse-scale” syntheses. After 4.5 years of Perseverance on Mars and 37+ km of driving, we’re now able to analyze and integrate science datasets across the entire surface mission, looking for trends through space and time within the Jezero rock record. Our team also held a poster session, which was a great opportunity for in-person and informal scientific discussion.', '', '', 'The team’s modern atmospheric and environmental investigations were front and center on Day 3. We then rewound the clock, hearing new and updated analyses of data acquired during Perseverance’s earlier campaigns in Jezero’s Margin unit, crater floor, and western fan. The last day of the meeting was focused entirely on future plans for the Perseverance rover, including a discussion of our exploration and sampling strategy during the Crater Rim Campaign. We also looked further afield, considering where the rover might explore over the next few years.', '', '', 'Following the meeting, the Science Team took a one-day field trip to visit Gardnos crater, a heavily eroded impact crater with excellent examples of impact melt breccia and post-impact sediment fill. The team’s visit to Gardnos offered a unique opportunity to see and study impact-generated rock units like those expected on the Jezero crater rim and to discuss the challenges we have recognizing similar units with the rover on Mars.', '', '', 'Recapping our Perseverance team meetings has been one of my favorite yearly traditions (see summaries from our 2022, 2023, and 2024 meetings) and I look forward to reporting back a year from now. As the Perseverance team tackles challenges in the year to come, we can seek inspiration from one of Norway’s greatest polar explorers, Fridtjof Nansen, who said while delivering his Nobel lecture, “The difficult is that which can be done at once; the impossible is that which takes a little longer.”', '', '', 'Katie Stack Morgan, Mars 2020 Acting Project Scientist', '']",NASA Science Editorial Team,['https://science.nasa.gov/wp-content/themes/nasa/assets/images/solar-system/nasa-starfield.webp'],"['July 1, 2025']","['Mars', 'Mars 2020', 'Perseverance (Rover)', 'The Solar System']",https://science.nasa.gov/blogs/perseverance-mars-rover/2025/07/01/an-update-from-the-2025-mars-2020-science-team-meeting/
